Occupation,Total fatal injuries (number),Violence and other injuries by persons or animals(3),Transportation incidents(4),Fires and explosions,"Falls, slips, trips",Exposure to harmful substances or environments,Contact with objects and equipment
Helpers--roofers,4,–,–,–,3,–,–
Other construction and related workers,42,–,20,3,6,4,–
Construction and building inspectors,7,–,–,–,–,–,–
Construction and building inspectors,7,–,–,–,–,–,–
Elevator and escalator installers and repairers,4,–,–,–,–,–,–
Elevator and escalator installers and repairers,4,–,–,–,–,–,–
Fence erectors,4,–,–,–,–,–,–
Fence erectors,4,–,–,–,–,–,–
Hazardous materials removal workers,1,–,–,–,–,–,–
Hazardous materials removal workers,1,–,–,–,–,–,–
Highway maintenance workers,10,–,8,–,–,–,–
Highway maintenance workers,10,–,8,–,–,–,–
Rail-track laying and maintenance equipment operators,4,–,–,1,–,–,–
Rail-track laying and maintenance equipment operators,4,–,–,1,–,–,–
Septic tank servicers and sewer pipe cleaners,5,–,–,–,–,–,–
Septic tank servicers and sewer pipe cleaners,5,–,–,–,–,–,–
Miscellaneous construction and related workers,7,–,–,–,–,–,–
Extraction workers,70,–,23,–,8,4,31
"Derrick, rotary drill, and service unit operators, oil and gas",24,–,7,–,4,–,10
"Derrick operators, oil and gas",9,–,–,–,–,–,5
"Rotary drill operators, oil and gas",4,–,–,–,–,–,–
"Service unit operators, oil and gas",11,–,–,–,–,–,–
Surface mining machine operators and earth drillers,15,–,3,–,–,–,10
"Excavating and loading machine and dragline operators, surface mining",14,–,–,–,–,–,10
"Earth drillers, except oil and gas",1,–,–,–,–,–,–
Underground mining machine operators,8,–,–,–,–,–,3
"Roof bolters, mining",2,–,–,–,–,–,–
"Roustabouts, oil and gas",17,–,6,–,–,–,8
"Roustabouts, oil and gas",17,–,6,–,–,–,8
Helpers--extraction workers,1,–,–,–,–,–,–
Helpers--extraction workers,1,–,–,–,–,–,–
Miscellaneous extraction workers,3,–,–,–,–,–,–
"Installation, maintenance, and repair occupations",431,68,82,13,51,105,110
"Supervisors of installation, maintenance, and repair workers",38,11,5,–,–,–,–
"First-line supervisors of mechanics, installers, and repairers",38,11,5,–,–,–,–
"First-line supervisors of mechanics, installers, and repairers",38,11,5,–,–,–,–
"Electrical and electronic equipment mechanics, installers, and repairers",24,5,10,–,–,–,–
"Miscellaneous electrical and electronic equipment mechanics, installers, and repairers",12,3,5,–,–,–,–
"Electrical and electronics repairers, commercial and industrial equipment",4,–,–,–,–,–,–
"Electronic equipment installers and repairers, motor vehicles",1,1,–,–,–,–,–
Audiovisual equipment installers and repairers,4,–,–,–,–,–,–
Security and fire alarm systems installers,3,–,–,–,–,–,–
"Vehicle and mobile equipment mechanics, installers, and repairers",140,22,28,8,8,20,54
Automotive technicians and repairers,74,–,10,–,–,16,24
Automotive body and related repairers,5,–,–,–,–,–,–
Automotive service technicians and mechanics,69,–,10,–,–,–,24
Bus and truck mechanics and diesel engine specialists,24,–,7,4,–,–,9
Bus and truck mechanics and diesel engine specialists,24,–,7,4,–,–,9
Heavy vehicle and mobile equipment service technicians and mechanics,28,–,6,–,–,1,18
Farm equipment mechanics and service technicians,8,–,–,–,–,–,–
"Mobile heavy equipment mechanics, except engines",17,–,–,–,–,–,11
Rail car repairers,3,–,–,–,–,1,–
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",7,–,–,–,–,–,–
"Other installation, maintenance, and repair occupations",229,30,39,5,35,71,47
Control and valve installers and repairers,1,–,–,1,–,–,–
Mechanical door repairers,1,–,–,1,–,–,–
"Heating, air conditioning, and refrigeration mechanics and installers",23,–,–,–,8,11,–
"Heating, air conditioning, and refrigeration mechanics and installers",23,–,–,–,8,11,–
"Industrial machinery installation, repair, and maintenance workers",42,–,6,–,6,10,14
Industrial machinery mechanics,19,–,3,–,–,5,8
"Maintenance workers, machinery",15,–,3,–,–,–,–
Line installers and repairers,35,3,9,1,–,–,–
Electrical power-line installers and repairers,20,–,5,–,–,–,–
Telecommunications line installers and repairers,15,–,4,1,–,–,–
"Maintenance and repair workers, general",95,17,16,–,16,27,18
"Maintenance and repair workers, general",95,17,16,–,16,27,18
"Miscellaneous installation, maintenance, and repair workers",31,5,–,–,–,10,8
Commercial divers,3,–,–,–,–,–,–
Locksmiths and safe repairers,4,–,–,–,–,–,–
Riggers,3,–,–,–,–,–,–
"Helpers--installation, maintenance, and repair workers",10,–,–,–,–,4,4
Production occupations,268,25,36,21,39,61,85
Supervisors of production workers,19,4,–,–,3,–,5
First-line supervisors of production and operating workers,19,4,–,–,3,–,5
First-line supervisors of production and operating workers,19,4,–,–,3,–,5
Assemblers and fabricators,21,4,4,–,3,5,5
Miscellaneous assemblers and fabricators,19,4,4,–,–,5,–
Team assemblers,9,–,–,–,–,3,–
Food processing workers,19,–,–,–,4,5,7
Bakers,4,–,–,–,–,–,–
Bakers,4,–,–,–,–,–,–
"Butchers and other meat, poultry, and fish processing workers",6,–,–,–,–,–,–
Slaughterers and meat packers,3,–,–,–,–,–,–
Miscellaneous food processing workers,9,–,–,–,–,–,4
"Food and tobacco roasting, baking, and drying machine operators and tenders",3,–,–,–,–,–,–
Metal workers and plastic workers,94,–,11,–,11,24,37
"Forming machine setters, operators, and tenders, metal and plastic",3,–,–,–,–,–,–
"Machine tool cutting setters, operators, and tenders, metal and plastic",7,–,–,–,–,–,5
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",4,–,–,–,–,–,–
Machinists,9,–,–,–,–,–,5
Machinists,9,–,–,–,–,–,5
"Metal furnace operators, tenders, pourers, and casters",3,–,–,–,–,1,–
"Welding, soldering, and brazing workers",61,–,–,–,9,17,16
"Welders, cutters, solderers, and brazers",53,–,–,–,–,13,–
"Welding, soldering, and brazing machine setters, operators, and tenders",8,–,–,–,–,4,–
Miscellaneous metal workers and plastic workers,7,–,–,–,–,–,–
Printing workers,3,–,–,–,–,–,–
Printing workers,3,–,–,–,–,–,–
Printing press operators,3,–,–,–,–,–,–
"Textile, apparel, and furnishings workers",6,–,–,–,–,–,–
Shoe and leather workers,1,–,–,–,–,–,–
Shoe and leather workers and repairers,1,–,–,–,–,–,–
Woodworkers,12,–,–,–,3,–,6
"Woodworking machine setters, operators, and tenders",7,–,–,–,–,–,–
"Sawing machine setters, operators, and tenders, wood",4,–,–,–,–,–,–
"Woodworking machine setters, operators, and tenders, except sawing",3,–,–,–,–,–,–
Plant and system operators,26,–,–,5,–,7,–
Water and wastewater treatment plant and system operators,8,–,–,–,–,–,–
Water and wastewater treatment plant and system operators,8,–,–,–,–,–,–
Miscellaneous plant and system operators,11,–,–,–,–,–,–
"Petroleum pump system operators, refinery operators, and gaugers",5,–,–,–,–,–,–
Other production occupations,68,6,11,5,9,16,20
"Chemical processing machine setters, operators, and tenders",4,–,–,–,–,–,–
"Crushing, grinding, polishing, mixing, and blending workers",6,–,–,–,–,–,3
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",3,–,–,–,–,–,–
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",3,–,–,–,–,–,–
"Inspectors, testers, sorters, samplers, and weighers",13,–,–,–,3,4,–
"Inspectors, testers, sorters, samplers, and weighers",13,–,–,–,3,4,–
Packaging and filling machine operators and tenders,3,–,–,–,–,–,–
Packaging and filling machine operators and tenders,3,–,–,–,–,–,–
Miscellaneous production workers,35,–,6,–,–,9,11
"Molders, shapers, and casters, except metal and plastic",1,–,–,–,–,–,1
"Paper goods machine setters, operators, and tenders",7,–,–,–,–,–,–
Transportation and material moving occupations,1620,121,1135,12,75,135,140
Supervisors of transportation and material moving workers,24,5,11,–,–,–,5
First-line supervisors of transportation and material moving workers,24,5,11,–,–,–,5
"First-line supervisors of helpers, laborers, and material movers, hand",5,–,3,–,–,–,–
First-line supervisors of material-moving machine and vehicle operators,11,–,6,–,–,–,3
Air transportation workers,74,–,70,–,–,–,–
Aircraft pilots and flight engineers,72,–,–,–,–,–,–
Commercial pilots,55,–,–,–,–,–,–
